Category,Band,Offence,Contrary to,Year and Chapter
6,6.5,Frauds in connection with sale of land etc,"Law of Property Act 1925, s.183",1925 c. 20
6,6.5,Providing false or misleading information for allowance claims,"Parliamentary Standads Act 2009, s.10",2009 c. 13
6,6.5,Concealing etc. criminal property,"Proceeds of Crime Act 2002, s.327",2002 c. 29
6,6.5,"Arrangements - concerned in arrangement, knows or suspects, facilitates acquisition, retention, use or control of criminal property by, or on behalf of another person","Proceeds of Crime Act 2002, s.328",2002 c. 29
6,6.5,"Acquisition, use, and possession of criminal property.","Proceeds of Crime Act 2002, s.329",2002 c. 29
6,6.5,Nominated officer; must not give consent to the doing of a prohibited act,"Proceeds of Crime Act 2002, s.336(5)",2002 c. 29
6,6.5,Dishonest representation for obtaining benefit etc.,"Social Security Administration Act 1992, s.111A",1992 c. 5
6,6.5,"Fraudulently printing, mutilating or re-issuing stamps etc.","Stamp Duties Management Act 1891, s.13 ",1891 c. 38
6,6.5,Fraudulent use of telecommunication system,"Telecommunications Act 1984, s.42(1)",1984 c. 12
6,6.5,Theft,"Theft Act 1968, s.1",1968 c. 60
6,6.5,False Accounting,"Theft Act 1968, s.17",1968 c. 60
6,6.5,Handling stolen goods,"Theft Act 1968, s.22",1968 c. 60
6,6.5,Dishonestly retaining a wrongful credit,"Theft Act 1968, s.24A",1968 c. 60
6,6.5,Subject of debt relief order fraudulently dispose of property,"Tribunals, Courts and Enforcement Act 2007, Schedule 17, Part 7A, Paragraph 251Q",2007 c. 15
6,6.5,Subject of debt relief order dispose of property not paid for by them or obtain property in respect of which money is owed.,"Tribunals, Courts and Enforcement Act 2007, Schedule 17, Part 7A, Paragraph 251R.",2007 c. 15
6,6.5,VAT Offences,"Value Added Tax Act 1994, s.72",1994 c. 23
7,7.1,Aggravated criminal damage,"Criminal Damage Act 1971, s.1(2)",1971 c. 48
7,7.1,Acts endangering or likely to endanger safe navigation,"Aviation and Maritime Security Act 1990, s.12",1990 c. 31
7,7.1,"Destroying, damaging etc. a Channel Tunnel train or the Tunnel system or committing acts of violence likely to endanger safety of operation ","Channel Tunnel (Security) Order 1994, Article 6",1994 No. 570
7,7.1,Arson intending or being reckless as to endanger life,"Criminal Damage Act 1971, s.1(2),(3)",1971 c. 48
7,7.2,Aggravated criminal damage,"Criminal Damage Act 1971, s.1(2)",1971 c. 48
7,7.2,Arson,"Criminal Damage Act 1971, s.1(1),(3)",1971 c. 48
7,7.2,Criminal damage,"Criminal Damage Act 1971, s.1(1) ",1971 c. 48
7,7.2,Criminal damage to ancient monuments,"Ancient Monuments and Archaeological Areas Act 1979, s.28(1)",1979 c. 46
7,7.2,Racially or Religiously Aggravated Criminal Damage (not endangering life),"Crime & Disorder Act 1998, s.30",1998 c. 37
7,7.2,Criminal damage and obstructing railways etc.,"Malicious Damage Act 1861, s.35, s.36, s.47, s.48",1861 c. 97
7,7.2,"Prohibition of use of explosives, poisons, electrical devices, and the destruction of Dams","Salmon and Freshwater Fisheries Act 1975, s.5                    ",1975 c. 51
7,7.3,Aggravated criminal damage,"Criminal Damage Act 1971, s.1(2)",1971 c. 48
7,7.3,Criminal damage,"Criminal Damage Act 1971, s.1(1) ",1971 c. 48
7,7.3,Criminal damage to ancient monuments,"Ancient Monuments and Archaeological Areas Act 1979, s.28(1)",1979 c. 46
7,7.3,Racially or Religiously Aggravated Criminal Damage (not endangering life),"Crime & Disorder Act 1998, s.30",1998 c. 37
7,7.3,Criminal damage and obstructing railways etc.,"Malicious Damage Act 1861, s.35, s.36, s.47, s.48",1861 c. 97
7,7.3,"Prohibition of use of explosives, poisons, electrical devices, and the destruction of Dams","Salmon and Freshwater Fisheries Act 1975, s.5                    ",1975 c. 51
7,7.3,Endangering safety of aircraft,"Air Navigation Order 2016, Article 240",2016 No. 765
7,7.3,Endangering safety of any person or property,"Air Navigation Order 2016, Article 241",2016 No. 765
7,7.3,Endangering safety at aerodromes,"Aviation and Maritime Security Act 1990, s.1",1990 c. 31
7,7.3,"Destroying, damaging or endangering safety or aircraft","Aviation Security Act 1982, s.2, s.3, s. 6",1982 c. 36
7,7.3,Endangering the safety of railway passengers,"Offences against the Person Act 1861, s.32, s.33, s.34",1861 c. 100
7,7.3,"Endangering ship, life or limb on shipboard by breach of duty","Pilotage Act 1987, s.21",1987 c. 21
7,7.3,Aggravated vehicle taking where injury or damage was caused,"Theft Act 1968, s.12A",1968 c. 60
8,8.1,Incitement to sedition etc.,"Aliens Restriction (Amendment) Act 1919, s.3(1)",1919 c. 92
8,8.1,"Offences relating to offering, promising or giving bribes","Bribery Act 2010, s.1",2010 c. 23
8,8.1,"Offences relating to requesting, agreeing to receive and accepting bribes","Bribery Act 2010, s.2",2010 c. 23
8,8.1,Bribery of foreign public officials,"Bribery Act 2010, s.6",2010 c. 23
8,8.1,Attempting to Pervert the Course of Public Justice,Common Law,
8,8.1,"Committing or conspiring to commit, an act outraging public decency",Common Law,
8,8.1,Common Law offences not listed separately,Common Law,
8,8.1,Conspiracy to corrupt public morals,Common Law,
8,8.1,Misconduct in a public offence by act or commission,Common Law,
8,8.1,Obstructing coroner in the execution of his duty ,Common Law,
8,8.1,Offence of disclosure,"Crime (International co-operation) Act 2003, s. 42",2003 c. 32
8,8.1,Harming or threatening to harm a witness,"Criminal Justice and Police Act 2001, s.40",2001 c. 16
8,8.1,Assist offender,"Criminal Law Act 1967, s. 4",1967 c. 58
8,8.1,Seduction of members of HM Forces from their duty or allegiance,"Incitement to Disaffection Act 1934, s.1",1934 c. 56
8,8.1,Prohibition on publication of obscene article or possession of obscene article for gain,"Obscene Publications Act 1959, s.2  ",1959 c. 66
8,8.1,Commit act prejudicial to safety or interest of the State,"Official Secrets Act 1911, s.1",1911 c. 28
8,8.1,"Unauthorised use of uniforms; falsification of reports, forgery, personation and false documents.  Interfering with officers of the police or members of His Majesty's forces. Duty of giving information as to commission of offences.","Official Secrets Act 1920, s.1, s.3, s.6",1920 c. 75
8,8.1,Serving member/former member of Security or intelligence services disclosing information relating to security or intelligence. Person notified as subject to security or intelligence provisions unlawfully disclosing information relating to security or intelligence,"Official Secrets Act 1989, s.1(1)(a), s.1(1)(b)",1989 c. 6
8,8.1,Former or currrent Crown Servant/Government Contractor making damaging disclosure relating to secuirty or intelligence.,"Official Secrets Act 1989, s.1(3)",1989 c. 6
8,8.1,Former or currrent Crown Servant/Government Contractor making damaging disclosure relating to defence matter.,"Official Secrets Act 1989, s.2",1989 c. 6
8,8.1,Former or current Crown Servant/Government Contractor making damaging disclosure or confidential matter from Foreign State or relating to international relations.,"Official Secrets Act 1989, s.3(1)(a), s.3(1)(b)",1989 c. 6
8,8.1,"Former or current Crown Servant/Government Contractor disclosing information resulting in commission of offence/facilitating escape from custody/ facilitating act predudicial to safekeeping of person in custody / impending prevention / detection of offence, apprehension / prosecution of suspected offender etc","Official Secrets Act 1989, s.4(1)",1989 c. 6
8,8.1,Making damaging disclosure of protected information or information or disclosing information gained in contravention of s.1 of Official Secrets Act 1911,"Official Secrets Act 1989, s.5(2), s.5(6)",1989 c. 6
8,8.1,Making damaging disclosure of information entrusted to other State of organisation,"Official Secrets Act 1989, s.6(2)",1989 c. 6
8,8.1,Disclosing information which can be used to gain access to protected information ,"Official Secrets Act 1989, s.8(6)",1989 c. 6
8,8.1,Perjury,"Perjury Act 1911, s.1",1911 c. 6
8,8.1,Use of words or behaviour or display of written material (Acts intended to stir up religious hatred). ,"Public Order Act 1986, s29B",1986 c. 64
8,8.1,Public performance of a play (Acts intended to stir up religious hatred). ,Public Order Act 1986 s.29D,1986 c. 64
8,8.1,"Producer, Director, Provider or user of programme or broadcasting (acts intended to stir up hatred on religious or sexual orientation grounds). ","Public Order Act 1986, s.29F",1986 c. 64
8,8.1,"Contamination of or interference with goods with intention of causing public alarm, anxiety, economic loss, etc.","Public Order Act 1986, s.38(1)",1986 c. 64
8,8.1,"Bribery, Treating and undue influence","Representation of the People Act 1983, s.113, s. 114, s.115",1983 c. 2
8,8.1,Offences in connection with disclosure notices or search warrants,"Serious Organised Crime and Police Act 2005, s.67",2005 c. 15
8,8.1,Prohibition of presentation of obscene performances of plays,"Theatres Act 1968, s.2",1968 c. 54
8,8.1,Attempting to injure or alarm the sovereign etc,"Treason Act 1842, s.2",1842 c. 51
8,8.1,Declared felonies against the Crown,"Treason Felony Act 1848, s.3",1848 c. 12
9,9.1,Improper importation of goods and evasion of duty - Class A,"Customs and Excise Management Act 1979, s.50, s.170",1979 c. 2
9,9.1,Restriction of importation or exportation of controlled drugs - Class A,"Misuse of Drugs Act 1971, s.3",1971 c. 38
9,9.1,"Production, supply or offer to supply, or being concerned in the production - Class A","Misuse of Drugs Act 1971, s.4",1971 c. 38
9,9.1,Possession of a controlled drug with intent to supply - Class A,"Misuse of Drugs Act 1971, s.5(3) ",1971 c. 38
9,9.1,Offences relating to opium,"Misuse of Drugs Act 1971, s.9 ",1971 c. 38
9,9.1,Supply etc. of articles for administering or preparing controlled drugs ,"Misuse of Drugs Act 1971, s.9A ",1971 c. 38
9,9.1,Incite another to supply a controlled drug ,"Misue of Drugs Act 1971, s.19",1971 c. 38
9,9.1,Offences against Misuse of Drugs Regulations etc,"Misuse of Drugs Act 1971, s.18",1971 c. 38
9,9.1,Assisting in or inducing commission of drug offence outside United Kingdom,"Misuse of Drugs Act 1971, s.20 ",1971 c. 38
9,9.1,Carrying or concealing on a ship a controlled drug for import or export - Class A,"Criminal Justice (International Co-operation) Act 1990, s.19 ",1990 c. 5
9,9.1,Exportation of prohibited or restricted goods - Class A,"Customs and Excise Management Act 1979, s.68, s.170 ",1979 c. 2
9,9.2,Supply etc. of articles for administering or preparing controlled drugs ,"Misuse of Drugs Act 1971, s.9A ",1971 c. 38
9,9.2,Incite another to supply a controlled drug ,"Misue of Drugs Act 1971, s.19",1971 c. 38
9,9.2,Offences against Misuse of Drugs Regulations etc,"Misuse of Drugs Act 1971, s.18",1971 c. 38
9,9.2,Assisting in or inducing commission of drug offence outside United Kingdom,"Misuse of Drugs Act 1971, s.20 ",1971 c. 38
9,9.2,"Production, supply or offer to supply, or being concerned in the production - Class B","Misuse of Drugs Act 1971, s.4",1971 c. 38
9,9.2,Possession of a controlled drug with intent to supply - Class B,"Misuse of Drugs Act 1971, s.5(3) ",1971 c. 38
9,9.2,Restrictions of cultivation of cannabis plant,"Misuse of Drugs Act 1971, s.6 ",1971 c. 38
9,9.2,Carrying or concealing on a ship a controlled drug for import or export - Class B,"Criminal Justice (International Co-operation) Act 1990, s.19 ",1990 c. 5
9,9.2,Improper importation of goods and evasion of duty - Class B,"Customs and Excise Management Act 1979, s.50, s.170",1979 c. 2
9,9.2,Exportation of prohibited or restricted goods - Class B,"Customs and Excise Management Act 1979, s.68, s.170 ",1979 c. 2
9,9.2,Restriction of importation or exportation of controlled drugs - Class B,"Misuse of Drugs Act 1971, s.3",1971 c. 38
9,9.2,Supply Psychoactive Substances,"Psychoactive Substances Act 2016, s.7",2016 c. 2
9,9.3,Carrying or concealing on a ship a controlled drug for import or export - Class C,"Criminal Justice (International Co-operation) Act 1990, s.19 ",1990 c. 5
9,9.3,Improper importation of goods and evasion of duty - Class C,"Customs and Excise Management Act 1979, s.50, s.170",1979 c. 2
9,9.3,Exportation of prohibited or restricted goods - Class C,"Customs and Excise Management Act 1979, s.68, s.170 ",1979 c. 2
9,9.3,Restriction of importation or exportation of controlled drugs - Class C,"Misuse of Drugs Act 1971, s.3",1971 c. 38
9,9.3,Supply etc. of articles for administering or preparing controlled drugs ,"Misuse of Drugs Act 1971, s.9A ",1971 c. 38
9,9.3,Incite another to supply a controlled drug ,"Misue of Drugs Act 1971, s.19",1971 c. 38
9,9.3,Offences against Misuse of Drugs Regulations etc,"Misuse of Drugs Act 1971, s.18",1971 c. 38
9,9.3,Assisting in or inducing commission of drug offence outside United Kingdom,"Misuse of Drugs Act 1971, s.20 ",1971 c. 38
9,9.3,"Production, supply or offer to supply, or being concerned in the production - Class C","Misuse of Drugs Act 1971, s.4",1971 c. 38
9,9.3,Possession of a controlled drug with intent to supply - Class C,"Misuse of Drugs Act 1971, s.5(3) ",1971 c. 38
9,9.3,Supply Psychoactive Substances,"Psychoactive Substances Act 2016, s.7",2016 c. 2
9,9.4,"Production, supply or offer to supply, or being concerned in the production - Class A","Misuse of Drugs Act 1971, s.4",1971 c. 38
9,9.4,Possession of a controlled drug with intent to supply - Class A,"Misuse of Drugs Act 1971, s.5(3) ",1971 c. 38
9,9.4,Offences relating to opium,"Misuse of Drugs Act 1971, s.9 ",1971 c. 38
9,9.4,Supply etc. of articles for administering or preparing controlled drugs ,"Misuse of Drugs Act 1971, s.9A ",1971 c. 38
9,9.4,Incite another to supply a controlled drug ,"Misue of Drugs Act 1971, s.19",1971 c. 38
9,9.4,Offences against Misuse of Drugs Regulations etc,"Misuse of Drugs Act 1971, s.18",1971 c. 38
9,9.4,Assisting in or inducing commission of drug offence outside United Kingdom,"Misuse of Drugs Act 1971, s.20 ",1971 c. 38
9,9.5,Supply etc. of articles for administering or preparing controlled drugs ,"Misuse of Drugs Act 1971, s.9A ",1971 c. 38
9,9.5,Incite another to supply a controlled drug ,"Misue of Drugs Act 1971, s.19",1971 c. 38
9,9.5,Offences against Misuse of Drugs Regulations etc,"Misuse of Drugs Act 1971, s.18",1971 c. 38
9,9.5,Assisting in or inducing commission of drug offence outside United Kingdom,"Misuse of Drugs Act 1971, s.20 ",1971 c. 38
9,9.5,"Production, supply or offer to supply, or being concerned in the production - Class B","Misuse of Drugs Act 1971, s.4",1971 c. 38
9,9.5,Possession of a controlled drug with intent to supply - Class B,"Misuse of Drugs Act 1971, s.5(3) ",1971 c. 38
9,9.5,Restrictions of cultivation of cannabis plant,"Misuse of Drugs Act 1971, s.6 ",1971 c. 38
9,9.5,Supply Psychoactive Substances,"Psychoactive Substances Act 2016, s.7",2016 c. 2
9,9.6,Supply etc. of articles for administering or preparing controlled drugs ,"Misuse of Drugs Act 1971, s.9A ",1971 c. 38
9,9.6,Incite another to supply a controlled drug ,"Misue of Drugs Act 1971, s.19",1971 c. 38
9,9.6,Offences against Misuse of Drugs Regulations etc,"Misuse of Drugs Act 1971, s.18",1971 c. 38
9,9.6,Assisting in or inducing commission of drug offence outside United Kingdom,"Misuse of Drugs Act 1971, s.20 ",1971 c. 38
9,9.6,"Production, supply or offer to supply, or being concerned in the production - Class C","Misuse of Drugs Act 1971, s.4",1971 c. 38
9,9.6,Possession of a controlled drug with intent to supply - Class C,"Misuse of Drugs Act 1971, s.5(3) ",1971 c. 38
9,9.6,Supply Psychoactive Substances,"Psychoactive Substances Act 2016, s.7",2016 c. 2
9,9.7,"Production, supply or offer to supply, or being concerned in the production - Class A","Misuse of Drugs Act 1971, s.4",1971 c. 38
9,9.7,Possession of a controlled drug with intent to supply - Class A,"Misuse of Drugs Act 1971, s.5(3) ",1971 c. 38
9,9.7,Offences relating to opium,"Misuse of Drugs Act 1971, s.9 ",1971 c. 38
9,9.7,Supply etc. of articles for administering or preparing controlled drugs ,"Misuse of Drugs Act 1971, s.9A ",1971 c. 38
9,9.7,Incite another to supply a controlled drug ,"Misue of Drugs Act 1971, s.19",1971 c. 38
9,9.7,Offences against Misuse of Drugs Regulations etc,"Misuse of Drugs Act 1971, s.18",1971 c. 38
9,9.7,Assisting in or inducing commission of drug offence outside United Kingdom,"Misuse of Drugs Act 1971, s.20 ",1971 c. 38
9,9.7,"Production, supply or offer to supply, or being concerned in the production - Class B","Misuse of Drugs Act 1971, s.4",1971 c. 38
9,9.7,Possession of a controlled drug with intent to supply - Class B,"Misuse of Drugs Act 1971, s.5(3) ",1971 c. 38
9,9.7,Restrictions of cultivation of cannabis plant,"Misuse of Drugs Act 1971, s.6 ",1971 c. 38
9,9.7,Supply Psychoactive Substances,"Psychoactive Substances Act 2016, s.7",2016 c. 2
9,9.7,"Production, supply or offer to supply, or being concerned in the production - Class C","Misuse of Drugs Act 1971, s.4",1971 c. 38
9,9.7,Possession of a controlled drug with intent to supply - Class C,"Misuse of Drugs Act 1971, s.5(3) ",1971 c. 38
9,9.7,Permitting premises to be used for unlawful purposes,"Misuse of Drugs Act 1971, s.8",1971 c. 38
10,10.1,Causing injury by wanton or furious driving or racing,"Offences against the Person Act 1861, s.35",1861 c. 100
10,10.1,Causing death by dangerous driving ,"Road Traffic Act 1988, s.1",1988 c. 52
10,10.1,Serious injury by dangerous driving,"Road Traffic Act 1988, s.1A",1988 c. 52
10,10.1,"Causing death by careless, or inconsiderate, driving","Road Traffic Act 1988, s.2B",1988 c. 52
10,10.1,Causing death by careless driving  when under the influence of drink or drugs ,"Road Traffic Act 1988, s.3A",1988 c. 52
10,10.1,"Causing death by driving: unlicensed, uninsured, or disqualified drivers ","Road Traffic Act 1988, s.3ZB, s.3ZC",1988 c. 52
10,10.1,Causing death by aggravated vehicle taking,"Theft Act 1968, s.12A(4)",1968 c. 60
11,11.1,Armed Robbery,"Theft Act 1968, s.8(1)",1968 c. 60
11,11.1,Burglary with intent to inflict grevious bodily harm,"Theft Act 1968, s.9",1968 c. 60
11,11.1,Aggravated burglary,"Theft Act 1968, s.10",1968 c. 60
11,11.2,Robbery (other than armed robbery),"Theft Act 1968, s.8(1)",1968 c. 60
11,11.2,Burglary (domestic),"Theft Act 1968, s.9(3)(a)",1968 c. 60
11,11.2,Burglary (non-domestic),"Theft Act 1968, s.9(3)(b)",1968 c. 60
11,11.2,Assault with intent to rob,"Theft Act 1968, s.8(2)",1968 c. 60
12,12.1,"Offence in connection with a prohibition or restriction on the importation of any weapon or ammunition of a kind mentioned in section 5(1)(a), (ab), (aba), (ac), (ad), (ae), (af) or (c) or (1A)(a) of the Firearms Act 1968","Customs and Excise Management Act 1979, s.50(1), s.50(2), s.50(3), s.50(4), s.50(5A)",1979 c. 2
12,12.1,"Offence in connection with a prohibition or restriction on the exportation of any weapon or ammunition of a kind mentioned in section 5(1)(a), (ab), (aba), (ac), (ad), (ae), (af) or (c) or (1A)(a) of the Firearms Act 1968","Customs and Excise Management Act 1979, s.68(2), s.68(3), s.68(4A)",1979 c. 2
12,12.1,"Firing upon a vessel, aircraft or vehicle while it is engaged in the prevention of smuggling","Customs & Excise Management Act 1979, s.85(2)",1979 c. 2
12,12.1,Trading in firearms without being registered as a firearms dealer ,"Firearms Act 1968, s.3(1)",1968 c. 27
12,12.1,Conversion of firearms ,"Firearms Act 1968, s.4(3)",1968 c. 27
12,12.1,Possession of firearm with intent to endanger life,"Firearms Act 1968, s.16",1968 c. 27
12,12.1,Possessing firearm or imitation firearm with intent to cause fear of violence ,"Firearms Act 1968, s.16A",1968 c. 27
12,12.1,Use of firearm to resist arrest ,"Firearms Act 1968, s.17(1)",1968 c. 27
12,12.1,Possessing firearm or imitation firearm while committing or being arrested for specified offence,"Firearms Act 1968, s.17(2)",1968 c. 27
12,12.1,Carrying firearm with criminal intent,"Firearms Act 1968, s.18(1)",1968 c. 27
12,12.1,Supplying firearms or ammunition to person prohibited from possession,"Firearms Act 1968, s.21(5)",1968 c. 27
12,12.2,Using someone to mind a weapon,"Violent Crime Reduction Act 2006, s.28",2006 c. 38
12,12.2,Shortening the barrel of a shot gun,"Firearms Act 1968, s.4(1)",1968 c. 27
12,12.2,Possessing or acquiring prohibited weapons or ammunition,"Firearms Act 1968, s.5(1)",1968 c. 27
12,12.2,Possessing or acquiring firearm disguised as another object; or other prohibited weapons,"Firearms Act 1968, s.5(1A)",1968 c. 27
12,12.2,"Possessing, manufacturing or distributing prohibited weapons","Firearms Act 1968, s.5(2A)",1968 c. 27
12,12.2,Trespassing with firearm or imitation firearm in a building  ,Firearms Act 1968 s.20(1),1968 c. 27
12,12.2,Possession of firearms by persons previously convicted of crime,"Firearms Act 1968, s.21(4)",1968 c. 27
12,12.3,"Producing a false certificate or making a false statement with a view to acquisition, testing or repair of firearm or ammunition","Firearms Act 1968, s.3(5)",1968 c. 27
12,12.3,"Carrying firearm, imitation firearm or air weapon in a public place","Firearms Act 1968, s.19",1968 c. 27
13,13.1,"Abduction of a child by parent, etc","Child Abduction Act 1984, s.1",1984 c. 37
13,13.1,Abduction of child by other persons,"Child Abduction Act 1984, s.2",1984 c. 37
13,13.1,False imprisonment,Common Law,
13,13.1,Kidnapping,Common Law,
13,13.1,Blackmail,"Theft Act 1968, s.21",1968 c. 60
14,14.1,Bring or cause another to bring a child into the UK in breach of specified conditions,"Children and Adoption Act 2006, s.12",2006 c. 20
14,14.1,Training a child aged 12 or under to take part in dangerous performances,"Children and Young Persons Act 1933, s.24",1933 c. 12
14,14.1,Procuring a child to go abroad to perform by means of false pretence or representation,"Children and Young Persons Act 1933, s.25",1933 c. 12
14,14.1,Acting as a gangmaster in contravention of Section 6 (prohibition of unlicensed activities),"Gangmasters (Licensing) Act 2004, s.6, s.12",2004 c. 11
14,14.1,Assisting unlawful immigration to member state,"Immigration Act 1971, s.25",1971 c. 77
14,14.1,Assisting entry to UK in breach of deportation or exclusion order,"Immigration Act 1971, s.25A",1971 c. 77
14,14.1,"Employing a person knowing that they are an adult subject to immigration control who has not been granted leave to enter or remain, or whose leave to remain is invalid etc.","Immigration, Asylum and Nationality Act 2006, s.21",2006 c. 13
14,14.1,"Slavery, servitude and forced or compulsory labour","Modern Slavery Act 2015, s.1",2015 c. 30
14,14.1,Human trafficking,"Modern Slavery Act 2015, s.2",2015 c. 30
14,14.1,Trafficking into the UK for sexual exploitation,"Sexual Offences Act 2003, s.57",2003 c. 42
14,14.1,Trafficking within the UK for sexual exploitation,"Sexual Offences Act 2003, s.58",2003 c. 42
14,14.1,Trafficking out of the UK for sexual exploitation,"Sexual Offences Act 2003, s.59",2003 c. 42
15,15.1,Prison mutiny,"Prison Security Act 1992, s.1",1992 c. 25
15,15.1,Riot,"Public Order Act 1986, s.1",1986 c. 64
15,15.2,"Interfering or failing to comply with requirements, directions, notices or restrictions in connection with the Channel Tunnel","Channel Tunnel (Security) Order 1994, s.11(6), s.13(8), s.14(8), s.15(8), s.16(7), s.23(1), s.28(6), s.32(1)",1994 No. 570
15,15.2,Violent disorder,"Public Order Act 1986, s.2",1986 c. 64
15,15.2,"Threaten or claim contamination of or interference with goods with intention of causing public alarm or anxiety, etc","Public Order Act 1986, s.38(2)",1986 c. 64
15,15.3,Affray,"Public Order Act 1986, s.3",1986 c. 64
16,16.1,Contravening health and safety requirements or failing to comply with regulations,"Health and Safety at Work etc. Act 1974, s.33",1974 c. 37
16,16.2,Contravening health and safety requirements or failing to comply with regulations,"Health and Safety at Work etc. Act 1974, s.33",1974 c. 37
16,16.2,Discharge of oil from ships into certain UK waters,"Merchant Shipping Act 1995, s.131",1995 c. 21
16,16.2,Discharge of certain oils from pipe-lines or as the result of exploration etc. in designated areas,"Prevention of Oil Pollution Act 1971, s.3",1971 c. 60
16,16.3,"Provision of false or misleading information, disclosing confidential information","Financial Services & Markets Act 2000, s.346, s.352, s.398",2000 c. 8
16,16.3,Contravening health and safety requirements or failing to comply with regulations,"Health and Safety at Work etc. Act 1974, s.33",1974 c. 37
16,16.3,TEW offences,"Adoption & Children Act 2002, s.59, s.93, s.124",2002 c. 38
16,16.3,Importation of animals and carcasses,"Animal Health Act 1981, s.10(1)",1981 c. 22
16,16.3,"Failure to comply with requirements, restrictions, directions and notices in connection with air and sea travel","Aviation and Maritime Security Act 1990, s.19, s.21, s.22, s.23, s.24, s.31(1), s.31(3), s.36, s.40(1)(a), s.40(2), s.42(1), s.42(3)(a), s.48",1990 c. 31
16,16.3,Failure of commercial organisations to prevent bribery,"Bribery Act 2010, s.7",2010 c. 23
16,16.3,"Operator failing to comply with obligations impost by Articles 5 (documentation), Article 7 (labelling) and Article 8 (notification of the Community Regulation",Controlled Drugs (Drug Precursers (Intra-community Trade) Regulations 2008,2008 No. 295
16,16.3,"Making false or misleading statements; and falsifying, concealing or destruction etc. of documents","Criminal Justice Act 1987, s.2(14), s.2(15), s.2(16), s.2(17)",1987 c. 38
16,16.3,Dealing in tainted cultural objects,"Dealing in Cultural Objects (Offences) Act 2003, s.1",2003 c. 27
16,16.3,Use of site in absence of approved programme,"Energy Act 2008, s.47",2008 c. 23
16,16.3,Failing to comply approved programme,"Energy Act 2008, s.57",2008 c. 23
16,16.3,Disclosing information without permission,"Energy Act 2008, s.59",2008 c. 23
16,16.3,Supplying false or misleading information,"Energy Act 2008, s.60",2008 c. 23
16,16.3,Contravention of disclosure requirements,"Enterprise Act 2002, s.245",2002 c. 40
16,16.3,Carrying on a process without authority or not complying with conditions of granted authority,"Environmental Protection Act 1990, s.23(1)(a)",1990 c. 43
16,16.3,Failing to comply with requirements imposed in connection with suspension of a licence otherwise than in relation to special waste,"Environmental Protection Act 1990, s.38(10)",1990 c. 43
16,16.3,Failing to comply with requirements imposed in connection with suspension of a licence in relation to special waste,Environmental Protection Act 1990 Sec 38(11),1990 c. 43
16,16.3,Contravening s.6(1) of the Environmental Protection Act 1990,"Environmental Protection Act 1990, s.23(1)(a)",1990 c. 43
16,16.3,Prohibition of commercial dealings in human material for transplantation,"Human Tissue Act 2004, s.32",2004 c. 30
16,16.3,Prohibition of activities without consent etc.,"Human Tissue Act 2004, s.5",2004 c. 30
16,16.3,Use or store donated material not for a qualifying purpose,"Human Tissue Act 2004, s.8",2004 c. 30
16,16.3,Material omissions from statement relating to company’s affairs,"Insolvency Act 1986, s.210",1986 c. 45
16,16.3,Failure of owner of ship to take all reasonable steps to secure that the ship is operated in a safe manner,"Merchant Shipping Act 1995, s.100",1995 c. 21
16,16.3,"Conduct endangering ships, structures or individuals","Merchant Shipping Act 1995, s.58",1995 c. 21
16,16.3,Failing to assist another ship in case of collision,"Merchant Shipping Act 1995, s.92",1995 c. 21
16,16.3,Failing to assist aircraft in distress,"Merchant Shipping Act 1995, s.93",1995 c. 21
16,16.3,Dangerously unsafe ships,"Merchant Shipping Act 1995, s.98",1995 c. 21
16,16.3,"Using unsafe lighter, barge or like vessel","Merchant Shipping Act 1995, s.99",1995 c. 21
16,16.3,"Contravening directions prohibiting prescribing, supply etc of controlled drugs by practitioners etc","Misuse of Drugs Act 1971, s.12(6), s.13(3) ",1971 c. 38
16,16.3,"Giving false information by doctors, pharmacists, etc","Misuse of Drugs Act 1971, s.17(4)",1971 c. 38
16,16.3,Prohibition of sale of medical practices.,"National Health Service Act 2006, s.259, Schedule 21",2006 c. 41
16,16.3,"Obstructing, interfering or failing to comply with request in connection to rights of access, search etc by Agency inspectors","Nuclear Safeguards Act 2000, s.3, s.5, s.8, s.9",2000 c. 5
16,16.3,Being unfit for duty,"Railways and Transport Safety Act 2003, s.92",2003 c. 20
16,16.3,Making false statement,"Statistics of Trade Act 1947, s.4(3)",1947 c. 39
17,17.1,"Intimidation of witnesses, jurors and others","Criminal Justice and Public Order Act 1994, s.51(1)",1994 c. 33
17,17.1,Causing bomb hoaxes,"Criminal Law Act 1977, s.51",1977 c.45
17,17.1,Failing to conduct risk assessments or comply with notification requirements in connection with genetically modified organisms ,"Environmental Protection Act 1990, s.118(1)(a)(b)",1990 c. 43
17,17.1,Failing to comply with consent requirements in connection with genetically modified organisms,"Environmental Protection Act 1990, s.118(1)(c)",1990 c. 43
17,17.1, Contravening byelaws or orders under the Act,"Marine and Coastal Access Act 2009, s.139, s.163, s.190",2009 c. 23
17,17.1,Obstructing or assaulting an enforcement officer in the performance of the officer's functions ,"Marine and Coastal Access Act 2009, s.292(4), s.292(5)",2009 c. 23
17,17.1,Possession of controlled drugs,"Misuse of Drugs Act 1971, s.5(2)",1971 c.38
17,17.1,Solicitation by men,"Sexual Offences Act 1956, s.32",1956 c. 69
17,17.1,Burglary (domestic),"Theft Act 1968, s.9(3)(a)",1968 c. 60
17,17.1,Burglary (non-domestic),"Theft Act 1968, s.9(3)(b)",1968 c. 60
