Offence,Act,Class
"Former or current Crown Servant/Government Contractor disclosing information resulting in commission of offence/facilitating escape from custody/ facilitating act predudicial to safekeeping of person in custody / impending prevention / detection of offence, apprehension / prosecution of suspected offender etc",The Official Secrets Act 1989 S.4 (1),H*
Former or current Crown Servant/Government Contractor making damaging disclosure or confidential matter from Foreign State or relating to international relations.,The Official Secrets Act 1989 S.3 (1) (a) & (b),H*
Former or currrent Crown Servant/Government Contractor making damaging disclosure relating to defence matter.,The Official Secrets Act 1989 S. 2 (1),H*
Former or currrent Crown Servant/Government Contractor making damaging disclosure relating to secuirty or intelligence.,The Official Secrets Act 1989 S.1 (3),H*
Fraud by Abuse of Position ,Fraud Act 2006 Sec 4,F/G/K
Fraud by failing to disclose information,Fraud Act 2006 Sec 3 ,F/G/K
Fraud by false representation,Fraud Act 2006 Sec 2,F/G/K
Fraud by false representation,Fraud Act 2006 Sec 2,F/G/K
Fraud etc,"Gun Barrel Proof Act, 1868 Secs 30, 122, 141",H*
Fraud etc. in anticipation of winding up,Insolvency Act 1986 Sec 206(1),H*
"Fraud, forgery etc. associated with driving licence",Road Traffic Act 1988 Sec 173(1),H
"Fraud, forgery etc. associated with driving licence",Public Passenger Vehicles Act 1981 Sec 65(1)(a) & (2),H
"Fraud, forgery etc. associated with insurance certificate",Road Traffic Act 1988 Sec 173(1) ,H
"Fraud, forgery etc. associated with operator's licence",Goods Vehicles (Licensing of Operators) Act 1995 Sec 38 Sch 5 para 4,H*
"Fraud, forgery etc. associated with operator's licence",Road Traffic Act 1988 Sec 173(1),H*
"Fraud, forgery etc. associated with operator's licence",Public Passenger Vehicles Act 1981 Sec 65(1)(a) & (2),H*
"Fraud, forgery etc. associated with registration and licensing documents",Vehicle Excise and Registration Act 1994 Secs 44 & 45.,H
"Fraud, forgery etc. associated with registration and licensing documents",Public Passenger Vehicles Act 1981 Sec 65(1)(b) & (2),H*
"Fraud, forgery etc. associated with test certificate",Road Traffic Act 1988 Sec 173(1),H
"Fraud, forgery etc. associated with work records",Transport Act 1968 Sec 99(5),H*
Frauds by farmers in connection with agricultural charges,Agricultural Credits Act 1928 Sec 11,H*
Frauds in connection with sale of land etc,Law of Property Act 1925 Sec 183,H*
Frauds in connection with sale of land etc,Land Registration Act 1925 Secs 115-117,H*
Fraudulent evasion of contributions,Social Security Act 1998 Sec 61,H*
Fraudulent evasion of duty etc,"Customs & Excise Management Act 1979, Secs 50(2)(3), 68(2) & 170(1)(2)",F/G/K
"Fraudulent evasion of duty, an offence in connection with a prohibition or restriction on the importation or exportation of any weapon or ammunition etc",Customs & Excise Management Act 1979 Sec 170,F/G/K
Fraudulent evasion of income tax,Finance Act 2000 Sec 144,H*
Fraudulent evasion of tax & stamp duty land tax,Finance Act 2003 Sec 95,H*
Fraudulent inducement to make a deposit.,Banking Act 1987 Sec 35,H*
Fraudulent trading,Companies Act 1985 Sec 458 ,H*
Fraudulent Trading by Sole Trader,Fraud Act 2006 Sec 9,F/G/K
Fraudulent use of telecommunication system,Telecommunications Act 1984 Sec 42(1) as amended by Telecommunications (Fraud) Act 1997,H*
Fraudulently obtaining credit,Debtors Act 1869 Sec 13,H*
"Fraudulently printing, mutilating or re-issuing stamps",Stamp Duties Management Act 1891 Sec 13 ,F/G/K
Furnishing false information,Fair Trading Act 1973 Sec 46(3),H*
"Furnishing false information in response to notice, or to enforcement officer",Consumer Protection Act 1987 Secs 18(3)(b) & 32(2),H*
"Gamma-butyrolactone (GBL) and 1,4-butanediol (1,4-BD)",Misuse of Drugs Act 1971 (Amendment) Order 2009,C
"Gamma-butyrolactone (GBL) and 1,4-butanediol (1,4-BD)",Misuse of Drgus Act 1971 (Amendment) Order 2009,B
"Gamma-butyrolactone (GBL) and 1,4-butanediol (1,4-BD)",Misuse of Drugs Act 1971 (Amendment) Order 2009,H*
"Gamma-butyrolactone (GBL) and 1,4-butanediol (1,4-BD)",Misuse of Drugs Act 1971 (Amendment) Order 2009,B
"Gamma-butyrolactone (GBL) and 1,4-butanediol (1,4-BD)",Misuse of Drugs Act 1971 (Amendment) Order 2009,B
General protection of the public against injurious food and drug products,"Food Safety Act 1990 Secs 6(4), 13(1), 48(1) and, Regulations or Orders made under this Act ",H*
General restrictions on disclosure of information,Fair Trading Act 1973 Sec 133,H*
Give false information knowingly or recklessly when applying for a Confidentiality Order etc,Companies Act 1985 ,H*
Give/sell/lend/offer for sale/offer for loan a terrorist publication.,Terrorism Act 2006 Sec 2(2)(b)(c) & 11.,H*
"Gives false information or documents or destroys, mutilates, etc, documents. ",Terrorism (UN Measures) Order 2006 S.13(2) Sch.1 p4(b)(d).,H*
"Gives, or causes or permits, any product or coupon away to the public in the UK which promotes a tobacco product","Tobacco Advertising & Promotion Act 2002 Secs 9, 16(2)",H*
Giving false or misleading information,Nuclear Safeguards Act 2000 Sec 7,H*
Going equipped for stealing etc,Theft Act 1968 Sec 25,E
Gross Indecency between men (other than where one is 21 or over and the other is under 16),Sexual Offences Act 1956 s 13,H
Harassment,Protection from Harassment Act 1997 Sec 2,H*
Harassment etc. of a person in his home,Criminal Justice and Police Act 2001 Sec 42A,H*
Harassment etc. of a person in his home,Serious Organised Crime and Police Act 2005 Sec 126,H*
"Harassment, alarm or distress",Public Order Act 1986 Sec 5,H*
Harbouring escaped prisoner,Criminal Justice Act 1961 Sec 22(2),C
Harming or threatening to harm a witness,Criminal Justice & Police Act 2001 S.40,H*
Having a controlled drug in possession on a ship CLASS C DRUG,Criminal Justice (International Co-operation) Act 1990 Sec 19(a),H*
Having an article with a blade or point in a public place,Criminal Justice Act 1988 S 139 as amended by Offensive Weapons Act 1996,H*
Having an article with a blade or point on school premises,Criminal Justice Act 1988 S.139A (1) & (5)(a) as amended by Offensive Weapons Act 1996,H*
Having charge of premises knowingly cause/permit/fail to prevent use of premises for unlawful broadcasting.,Wireless Telegraphy Act 2006 S.37.,H*
Having possession of a controlled drug - Amphetamine,Misuse of Drugs Act 1971 Sec 5(2),H
"Having possession of a controlled drug - Anabolic steroids. Possession is not an offence unless you wish to export or import the steroid without a license. It is also an offence if they are counterfeit.",Misuse of Drugs Act 1971 Sec 5(2),H
Having possession of a controlled drug - cannabis,Misuse of Drugs Act 1971 Sec 5(2),H*
Having possession of a controlled drug - Class A - Other,Misuse of Drugs Act 1971 Sec 5(2),C
Having possession of a controlled drug - Class B - Other,Misuse of Drugs Act 1971 Sec 5(2),H
Having possession of a controlled drug - Class C- Other,Misuse of Drugs Act 1971 Sec 5(2),H
Having possession of a controlled drug - Class unspecified,Misuse of Drugs Act 1971 Sec 5(2),H
Having possession of a controlled drug - Cocaine,Misuse of Drugs Act 1971 Sec 5(2),C
Having possession of a controlled drug - Crack,Misuse of Drugs Act 1971 Sec 5(2),C
Having possession of a controlled drug - Crystal Meths,Misuse of Drugs Act 1971 Sec 5(2),C
Having possession of a controlled drug - GHB,Misuse of Drugs Act 1971 Sec 5(2),H
Having possession of a controlled drug - Heroin,Misuse of Drugs Act 1971 Sec 5(2),C
Having possession of a controlled drug - LSD,Misuse of Drugs Act 1971 Sec 5(2),C
Having possession of a controlled drug - MDMA,Misuse of Drugs Act 1971 Sec 5(2),C
Having possession of a controlled drug - Methadone,Misuse of Drugs Act 1971 Sec 5(2),C
Helping asylum seeker to enter UK,"Immigration Act 1971 S25A4 as amended by Nationality, Immigration & Asylum Act 2002 Sec. 143 ",C
Hijacking,"Aviation Security Act 1982 Sec 1, 6",H*
"Hijacking, destroying or damaging Channel Tunnel train or system ","Channel Tunnel (Security) Order 1994 Articles 4, 5, 7, 8 Channel Tunnel Act 1987 Sec 1(7))",H*
Hoaxes involving noxious substances or things,"Anti-terrorism, Crime and Security Act 2001 Sec114 ",H*
Hygiene offences in connection with sale etc. of food to the public,Food Safety (General Food Hygiene) Regulations 1995,H*
"If in purported compliance with requirement imposed under a disclosure order, makes or recklessly makes a false or misleading statement",Proceeds of Crime Act 2002 Sec. 359(3)(4),H*
Ill treatment of patients,Mental Health Act 1983 Sec 127,D
Ill treatment or neglect of a person lacking capacity by anyone responsible for that persons care,Mental Capacity Act 2005 Sec 44,H*
Impeding the saving of life from shipwreck,Offences against the Person Act 1861 Sec 17,B
Impersonation.,Representation of the People Act 1983 Sec 60,H*
"Importing or acquiring, releasing or marketing any genetically modified organisms in certain cases or circumstances or without consent. Failing to dispose of organisms quickly and safely when required",Environmental Protection Act 1990 Sec 118(1)(c),H*
"Importing, acquiring, keeping releasing or marketing any genetically modified organisms without carrying out a risk assessment and giving prescribed notice and information to the Secretary of State",Environmental Protection Act 1990 Sec 118(1)(a)(b),H*
Imposition of requirements for approval,"Private Security Industry Act 2001 S17(2)(3)(a)(b),4",H*
In course of/in connection with commission / purposes of terrorism use/damage nuclear facility to cause release / ask of release of radioactive material,Terrorism Act 2006 Sec 10,H*
"In the course of registration proceedings, suppress information with intention of concealing a person's right/claim or substantiating a false claim",Land Registration Act 1925 Sec 123,H*
Incest by a man,Sexual Offences Act 1956 s 10,D
Incest by a man - girl under 13,Sexual Offences Act 1956 s 10,J
Incest by a woman,Sexual Offences Act 1956 s 11,D
Incite another to supply a controlled drug ,Misue of Drugs Act 1971 Sec 19,H*
Incitement to sedition etc.,Aliens Restriction (Amendment) Act 1919 Sec 3(1),H*
Inciting a child family member to engage in sexual activity - no penetration - offender 18 or over - victim female 13 to 17,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - no penetration - offender 18 or over - victim female under 13,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - no penetration - offender 18 or over - victim male 13 to 17,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - no penetration - offender 18 or over - victim male under 13,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - no penetration - offender under 18 - victim female 13 to 17,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - no penetration - offender under 18 - victim female under 13,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - no penetration - offender under 18 - victim male 13 to 17,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - no penetration - offender under 18 - victim male under 13,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - penetration - offender 18 or over - victim female 13 to 17,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - penetration - offender 18 or over - victim female under 13,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - penetration - offender 18 or over - victim male 13 to 17,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - penetration - offender 18 or over - victim male under 13,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - penetration - offender under 18 - victim female 13 to 17,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - penetration - offender under 18 - victim female under 13,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - penetration - offender under 18 - victim male 13 to 17,Sexual Offences Act 2003 Sec 26,J
Inciting a child family member to engage in sexual activity - penetration - offender under 18 - victim male under 13,Sexual Offences Act 2003 Sec 26,J
Indecency between men,Sexual Offences Act 1956 s 13,D
Indecent assault on a man,Sexual Offences Act 1956 s 15,D
Indecent assault on a woman,Sexual Offences Act 1956 s 14,D
Indecent matter publicly displayed,Indecent Displays (Control) Act 1981 Secs 1 & 5,H
Indictable offences relating to Civil Partnerships schedule & recordings of civil partnerships. ,"Civil Partnership Act 2004 Sec 31 (1)(2),(7)(8)",H*
"Induce another to change the register of title or cautions register, or to authorise the making of such a change",Land Registration Act 2002 Sec 124 ,H*
"Inducement, threat or deception to procure sexual activity with a person with a mental disorder - no penetration",Sexual Offences Act 2003 Sec 34,J
"Inducement, threat or deception to procure sexual activity with a person with a mental disorder - penetration",Sexual Offences Act 2003 Sec 34,J
"Inducing commission of offence relating to safety of ship, cargo or sea platform outside UK ",Aviation and Maritime Security Act 1990 14(4),H*
Infanticide,Infanticide Act 1938 Sec 1(1),A
Inflicting Grievous Bodily Harm without intent,Offences against the Person Act 1861 Sec20,C
Infringe a performers making available right in the course of business/otherwise,"Copyright, Designs and Patents Act 1988 Sec 198 2A;5A as added by Copyright & Related Rights Regs 2003",H*
Infringe copyright to a work by communicating work to public,"Copyright, Designs and Patents Act 1988 Sec 107A; 4A as added by Copyright & Related Rights Regs 2003",H*
Infringement of the Olympic Association right,Olympic Symbol etc. (Protection) Act 1995 Sec 8,H*
Insider dealing,Criminal Justice Act 1988 Sec 52,H*
"Intentionally alter, suppress or destroy a document required to produce by S46(1)",Courts and Legal Services Act 1990,H*
Intentionally alter/suppress/destroy document required to produce under S.235 notice. ,Housing Act 2004 S.236.,H*
Intentionally deceiving by forgery or using a document issued under Sec 7,Environmental Protection Act 1990 Sec 23(1)(j),H*
Intentionally doing an act capable of encouraging or assisting the suicide or attempted suicide of another ,Suicide Act 1961 Sec 2(1),B
Intentionally encouraging or assisting commission of an either way offence,Serious Crime Act 2007 S.44 (pt),H*
Intentionally encouraging or assisting commission of an indictable offence (NOT MURDER),Serious Crime Act 2007 S.44 (pt),H*
Intentionally encouraging or assisting commission of MURDER,Serious Crime Act 2007 S.44 (pt),H*
Intentionally making a false entry in any record required under Sec 7,Environmental Protection Act 1990 Sec 23(1)(i),H*
Intentionally making false or fraudulent certificate (load lines etc.),Merchant Shipping Act 1995 Sch 3(para 27),H*
Intentionally obstructing an authorised person in the exercise of powers under Pt.3 of Sch.3 (seizure in cases of imminent danger of serious pollution),"Control of Dangerous Substances and preparations regulations 2006 RR.13 (1)(a), 14(1)(a) & Sch.3",H*
"Intentionally/recklessly remove, cause or permit the removal of a hedgeow in contravention of Regulation 5 (1) or (9)",Hedgerows Regulations 1997,H*
Intercourse with a defective,Sexual Offences Act 1956 s 7,J
Intercourse with a girl under 13,Sexual Offences Act 1956 s 5,J
Intercourse with a girl under 16,Sexual Offences Act 1956 s 6,J
Intercourse with an animal by a female,Sexual Offences Act 2003 Sec 69(2)(3),D
Intercourse with an animal by a male,Sexual Offences Act 2003 Sec 69(1)(3),D
"Interfere with buildings constructed/ work executed/ anything installed on/ over land under S,18A notice",Aviation Security Act 1982 S18C(3).,H*
Interfere with contractual relationships so as to harm animal research organisations,Serious Organised Crime and Police Act 2005 Sec 145,H*
Interference with a motor vehicle,Criminal Attempts Act 1981 Sec 9,H*
Interfering with the mail - postal operators,Postal Services Act 2000 Sec 83,H*
Intimidation of persons connected with animal research organisations,Serious Organised Crime and Police Act 2005 Sec 146,H*
Introduction of new species etc,Wildlife and Countryside Act 1981 Sec 14,H*
"Issues circulates or distributes an advertisement, prospectus, circular or notice",Fair Trading Act 1973 Sec 120(1) as added by Trading Schemes Act 1996 Sec 2(2),H*
It is an offence to display tobacco products if display does not comply with any requirements as may be specified in Regulations made under this section,"Tobacco Advertising & Promotion Act 2002 Secs 8, 16(2)",H*
Keeping a brothel,Sexual Offences Act 1956 s 33,H*
Keeping a brothel used for prostitution,Sexual Offences Act 1956 Sec 33A as added by Sexual Offences Act 2003 Sec 55,H*
Ketamine (Special K or Club 'horse' drug),Misuse of Drugs Act 1971 (Amendment) Order 2009,H*
Kidnapping,Common Law,B
"Knowing/having reason to believe an individual was barred from a regulated activity, and permitting them to engage in such activity.",Safeguarding Vulnerable Groups Act 2006 S9.,H*
Knowingly & intentionally participate in activities to circumvent an Article 7 or 8 prohibition.,Al-Qaida and Taliban (UN Measures) Order 2006 S.10.,H*
Knowingly / recklessly engage in commercial practice contravening reg 3(3)(a) distorting behaviour of average consumer,Consumer Protection from Unfair Trading Regulations 2008 RR.8 (1) & 13,H*
"Knowingly being concerned in activity prohibited by parts 2, 3, or 4 of the Order with intent to evade the relevant prohibition",Export Control Order 2008 A.34 (5),H*
Knowingly being concerned in the carrying or concealing of a controlled drug on a ship CLASS C DRUG,Criminal Justice (International Co-operation) Act 1990 Sec 19b,H*
Knowingly concerned in supply etc. of restricted goods with intent to evade Art.3(1) or 4 prohibition/restriction,Trade in Goods (Control) Order 2003 SI 2765/2003 A.9(2)(4).,H*
Knowingly concerned in the supply etc. of restricted goods with intent to evade Article 3(2) or 4 prohibition/restriction,Trade in Goods (Control) Order 2003 SI 2765/2003 A.9(3)(4).,H*
"Knowingly gives false information or false statement, in connection with this part of the Act.",Transport Act 2000 S.101,H*
Knowingly harbouring spy,The Official Secrets Act 1911 S7,H*
Knowingly hold another person in slavery/servitude,Coroners and Criminal Justice Act 2009 S.71(1)(a) & (3),H*
Knowingly make a false statement to obtain issue of a driver qualification card.,Vehicle Drivers (Certificates of Professional Competence) Regulations 2007 S.13(3)&(4).,H*
Knowingly make false statement giving information under R.25(1)(c ),Business Protection from Misleading marketing regulations 2008 R.25(2),H*
Knowingly make false/misleading statement in purported compliance with S.198. ,National Health Service Act 2006 S.204(4)(6). ,H*
Knowingly makes false or misleading statements for purpose of obtaining or opposing the variation or withdrawal of authorisation for the purposes of Section 47 and 50,"Anti-terrorism, Crime & Security Act 2001 Sec 54",H*
Knowingly makes false statements,Fair Trading Act 1973 sec. 30(2),H*
Knowingly or recklessly furnishes return etc. which is false,Industrial Training Act 1982 Sec 6(6)(a),H*
Knowingly or recklessly providing false information or a document to obtain grant of an exemption license,Counter-Terrorism Act 2008 Sch.7 para.31,H*
Knowingly require another person to perform forced/compulsory labour,Coroners and Criminal Justice Act 2009 S.71(1)(b) & (3),H*
Knowingly supply a barred individual to engage in regulated activity while acting/appearing to act for personnel supplier. ,Safeguarding Vulnerable Groups Act 2006 S19(2)(5).,H*
"Knowingly taking in pawn or pledge, or otherwise receiving, company property",Insolvency Act 1986 Sec 206(4),H*
Knowingly/recklessly give any information/produce any document which is false in a material particular to Treasury.,Al-Qaida and Taliban (UN Measures) Order 2006 Sch.1 para4(b).,H*
Knowingly/recklessly make false / misleading statement in S116 request to inspect / copy register.,Companies Act 2006 Sec 119,H*
Leaves UK when prohibited to do so by Travel Restriction Order,Criminal Justice & Police Act 2001 S.36(1),H*
Letting premises for use as a brothel,Sexual Offences Act 1956 s 34,H*
Libel,Common Law,H*
Libel,Libel Acts 1792 and 1843,H*
"Licence-holder failing to comply with requirements of Waste Regulating Authority, in relation to special waste, when suspending a licence to deal with or avert pollution or harm",Environmental Protection Act 1990 Sec 38(11),H*
"Licence-holder failing to comply with requirements of Waste Regulating Authority, otherwise than in relation to special waste, when suspending a licence to deal with or avert pollution or harm",Environmental Protection Act 1990 Sec 38(10),H*
Licences and certificates relating to medicinal products,Medicines Act 1968 Sec 45(1)-(6),H*
License holder failing to keep records or give notice or make a return or report as required by license - importation and storage of carbon dioxide,Energy Act 2008 S.23(1)(c ) & (3) ,H*
License holder failing to keep records or give notice or make a return or report as required by license - importation and storage of combustible gas,Energy Act 2008 S.9(1)(c ) & (5),H*
Living on earnings of Prostitution,Sexual Offences Act 1956 s 30,D
Make / manufacture / possess an explosive / a thing / machine / engine / instrument / with intent to commit an offence,Offences against the Person Act 1861 Sec 64,C
Make / possess / control apparatus / article / material designed / adapted for making false identity documents,Identity Documents Act 2010 S5,H*
Make a false representation do / omit to do a thing for the purpose of obtaining approval of creditors. ,Insolvency Act 1986 Sec 262A,H*
Make a false statement in an application for registration of document for lasting power of attorney or re actual/impending incapacity of donor,"Mental Capacity Act 2005 Sch1, part2 p4(4) & Sch4, part2 p4(7).",H*
Make a false statement in providing information under para 23(1) (c ),Consumer Protection from Unfair Trading Regulations 2008 R.23(2),H*
Make a statement to the licensing authority (or someone acting on their behalf) which is false in a material particular,Activity Centres (Young Persons) Act 1995 Sec 2(1)(b) (against regulations made under the above Section),H*
Make a statement/furnish a document/information which is false in a material particular to obtain a Treasury licence.,Terrorism (UN Measures) Order 2006 S.11(5)&13(2).,H*
Make false declaration with a view to securing possession of a vehicle delivered into custody of a person,"Road Safety (Immobilisation, Removal and Disposal of Vehicles) Regulations 2009.",H*
Make false declaration with a view to securing release of a vehicle from an immobilization device,"Road Safety (Immobilisation, Removal and Disposal of Vehicles) Regulations 2009.",H*
Make funds/economic resources/financial services available directly to/indirectly to/for the benefit of Art 7(2) person.,Terrorism (UN Measures) Order 2006 S.8(3)&13(1).,H*
Make/possess radioactive device with intent use it in commission/preparation for terrorism.,Terrorism Act 2006 Sec 9(1)(a)3.,H*
Make/recklessly make a statement or furnish document/information which is false in material particular,Trade in Goods (Control) Order 2003 A10,H*
Makes false or misleading statement in purported compliance with any requirement imposed under sections 62 (disclosure notices) or 63 (production of documents),Serious Organised Crime & Police Act 2005 Sec 67(2)(5),H*
Makes false statements to authorised officer,"Tobacco Advertising & Promotions Act 2002 Secs 15(2), 16(2)",H*
Makes payment for the benefit of the promoter(s) or a participant in the trading scheme,Fair Trading Act 1973 Sec 120(3),H*
Making a false entry in any required record,Environmental Protection Act 1990 Sec 118(1)(m),H*
Making a false entry on a record or register required to be kept by the regulations,Hazardous Waste (England and Wales) Regulations 2005 RR.68(2) & 69(2),H*
Making a false or misleading statement in purported compliance with requirement under the regulations,Hazardous Waste (England and Wales) Regulations 2005 RR.68(1) & 69(2),H*
Making a false statement,Environmental Protection Act 1990 Sec 118(1)(l),H*
Making a false statement in an application concerning a licence,Environmental Protection Act 1990 Sec 44,H*
Making a statement known to be false or recklessly making statement which is false to obtain license or consent or licensing authority - storage of carbon dioxide,Energy Act 2008 S.23(5) & (7),H*
Making a statement known to be materially false or misleading or recklessly making a statement which is materially false or misleading in compliance with a requirement under Part I of The Act or in order to obtain authorisation or variation of authorisation for oneself or any other person,Environmental Protection Act 1990 Sec 23(1)(h),H*
Making a statement which the person knows to be false or recklessly making statement which is false to obtain license or consent of S of S etc - importation and storage of combustible gas ,Energy Act 2008 S.9(3) & (5),H*
Making counterfeit coin or note,Forgery & Counterfeiting Act 1981 Sec 14,G
Making damaging disclosure of information entrusted to other State of organisation,The Official Secrets Act 1989 S. 6 (2),H*
Making damaging disclosure of protected information (2) or information (6) Disclosing information gained in contravention of s1 of Official Secrets Act 1911,The Official Secrets Act 1989 s. 5 (2) & (6),H*
Making false representations or omissions un connection with (application for) debt relief order,"Insolvency Act 1986 as inserted by Sch 1Tribunals, Courts and Enforcement Act 2007 S251O (1),(2),(4b).",H*
Making false statement or produces false evidence for the purposes of Regs under 66(1),Road Traffic Act 1988 Sec 174(3),H*
"Making false statement or produces, provides, sends or otherwise makes use of a document which he knows to be false etc",Road Traffic Act 1988 Sec 174(2),H*
Making false statement or withholding material information in order to obtain the issue of a certificate of insurance,Road Traffic Act 1988 Sec 174(5),H*
Making false statement to obtain or failure to produce revoked licence,Road Traffic Act 1988 Sec 174(1),H*
making funds available in contravention of a treasury license issued under Article 5,Iraq (United Nations Sanctions) Order 2000 [SI 2000/3241],H*
Making off without payment,Theft Act 1978 Sec 3 ,H
Making or possessing explosives etc. with intent,Offences against the Person Act 1861 Sec 64,C
Making or possessing explosives etc. with intent,Explosive Substances Act 1883 Secs 3,A
Making or supplying articles for use in frauds ,Fraud Act 2006 Sec 7,F/G/K
Making unauthorised alterations to hallmarked article,"Hallmarking Act 1973 Sec 5(1,2)",H*
"Making, supplying or obtaining articles for use in offence under sections 1 or 3",Computer Misuse Act 1990 as added by Police and Justice Act 2006,H*
Making/having explosive substance under suspicious circumstances,Explosive Substances Act 1883 Sec 4 (1),B
Malicious Wounding,Offences against the Person Act 1861 Sec20,C
"Manage/finance/operate/run a broadcasting station by which broadcasts are made contravening S.77,78,79 or 80.",Wireless Telegraph Act 2006 S.81 & 93(1).,H*
Manslaughter,Common Law,A
Manslaughter,Offences against the Person Act 1861 Sec 5,A
Manufacture and keeping of gunpowder and other explosives (under sec 91 Explosives Act 1875 or under Sec 33 Health and Safety at Work etc. Act 1974),"Explosives Act 1875 (except sec 80, and orders in council and rules thereunder)",H*
Manufacturing a scheduled substance,Criminal Justice (International Co-operation) Act 1990 Sec 12 ,B
Master contravening pilot transfer arrangements.,The Merchant Shipping (Pilot Transfer Arrangements) Regs 1999 Reg 6 (SI 17/99),H*
"Master, Pilot or Seamans ability to carry out duties impaired because of drink or drugs",Railways and Transport Safety Act 2003 Secs78-82,H*
Material omissions from statement relating to company's affairs,Insolvency Act 1986 Sec 210,H*
Means of obtaining information relating to land,Agriculture Act 1967 Sec 55(4),H*
Medicinal products and related matters Triable either way,Medicines Act 1968,H*
Meeting a female child following sexual grooming etc. - offender 18 or over and victim under 16,Sexual Offences Act 2003 Sec 15,D
Meeting a male child following sexual grooming etc (Offender aged over 18 & victim aged under 16),Sexual Offences Act 2003 Sec 15,D
Meeting for training or drilling to the use of arms or for practising military exercise movement or evolution without lawful authority,Unlawful Drilling Act 1819 Sec 1,H*
Melting down or breaking up metal coin without licence,Coinage Act 1971 Sec 10(1),H*
Member of the House of Commons providing false or misleading information for allowance claims,Parliamentary Standads Act 2009 S.10,H*
Misconduct in a public offence by act or commission,Common Law,H*
Misconduct in course of winding up,Insolvency Act 1986 Sec 208,H*
"Misconduct of master or crew likely to endanger ships, structures or individuals",Merchant Shipping Act 1995 Sec 58,H*
Mishandling or faking parking documents ,Road Traffic Regulation Act 1984 S.115(1),H
Misleading applications for licences,Export of Objects of Cultural Interest (Control) Order 2003 Article 4,H*
Misrepresentation of systems of classification of carcasses,Agriculture Act 1967 Sec 6(8),H*
Misuse of rebated heavy oil,"Hydrocarbon Oil Duties Act 1979 Secs 13(3,4)",H*
Misuse of rebated light oil,"Hydrocarbon Oil Duties Act 1979 Secs 14(6,7)",H*
Modification etc of messages - Interception and disclosure of messages,"Telecommunications Act 1984 S.42, 44, 45",H*
Murder of persons aged 1 yr or over,Common Law,A
Murder of persons under 1yr of age,Common Law,A
Neglect of safety at work,"Health and Safety at Work etc. Act 1974 Secs 2 to 9, 33(1)(a), 33(1)(b) and 33(3)",H*
Neglecting to provide for apprentice or servant,Offences against the Person Act 1861 Sec 26,C
Neglecting to provide for safety at children's entertainment,Children and Young Persons Act 1933 Sec 12,H*
Nominated officer; must not give consent to the doing of a prohibited act,Proceeds of Crime Act 2002 Sec 336,H*
"Non British Citizen, by means including deception, obtains or seeks to obtain leave to enter or remain in the UK or, postponement, avoidance or revocation of enforcement action against him",Immigration Act 1971 Sec 24A as amended by Asylum & Immigration Act 1996 Sec 23 ,H*
Non compliance with enforcement notice,Town and Country Planning Act 1990 Sec 179,H*
Non-consensual analysis of DNA,Human Tissue Act 2004 Sec 45,H*
Not under authority of a licence dealt with funds/economic resources belonging to/owned/held by an Art 7(2) person.,Terrorism (UN Measures) Order 2006 S.7(3) & 13(1).,H*
Not waiting to save lives in collision,"Merchant Shipping Act 1995 Sec 92(1,3)",H*
"Notifies police, under Notification Order, with false information",Sexual Offences Act 2003 Sec 91(1b)(2),H*
"Notify false information to police in purported compliance with s.108, 109, 110 or reg's under s.111",Criminal Justice and Immigration Act 2008,H*
Obstructing a person exercising any power conferred on him (enforcement of licensing scheme),Transport Act 2000 Sec. 190,H*
Obstructing an authorised person in the execution of his powers under Sec 109,Environment Act 1995 Sec 110(4)(a),H*
"Obstructing an inspector exercising his powers to seize, render harmless or take samples from an article or substance believed to be a cause of imminent danger to the environment or serious harm to human health",Environmental Protection Act 1990 Sec 70,H*
Obstructing an inspector where he believes imminent danger is involved,Environmental Protection Act 1990 Sec 118(1)(j),H*
Obstructing coroner in the execution of his duty ,Common Law,H*
Obstructing powers of search etc. or concealing drugs etc,Misuse of Drugs Act 1971 Sec 23(4),H*
Obstructing rights of entry and inspection,Radioactive Substances Act 1960 Sec 12(1),H*
"Obstructing, assaulting or arresting upon civil process, clergyman performing services",Offences against the Person Act Sec 36,H*
Obstruction etc. of officers; furnishing false information,Food Safety Act 1990 Sec 33(2),H*
Obstruction etc. under these Regulations,Cattle Identification Regulations 2007 RR.13(1)(a)-(d) & (2) & 15,H*
